# Number of processors: 1
# Process binding: core
# Process grid: 1 1 1
maxtime,mintime,jacobima,jacobimi,mlups
15.300252,15.300252,15.110451,15.110451,112.939313
15.296666,15.296666,15.109986,15.109986,112.965796
15.295288,15.295288,15.108632,15.108632,112.975974
15.297254,15.297254,15.110511,15.110511,112.961447
15.295587,15.295587,15.109023,15.109023,112.973761
15.295684,15.295684,15.109028,15.109028,112.973042
15.295820,15.295820,15.109115,15.109115,112.972038
15.296040,15.296040,15.109372,15.109372,112.970415
15.295207,15.295207,15.108603,15.108603,112.976566
15.296080,15.296080,15.109416,15.109416,112.970121
