# Number of processors: 12
# Process binding: core
# Process grid: 3 2 2
maxtime,mintime,jacobima,jacobimi,mlups
2.034861,2.034814,1.967978,1.962244,849.198099
2.033652,2.033650,1.969210,1.963477,849.702958
2.035658,2.035653,1.970847,1.965370,848.865533
2.035001,2.034999,1.970505,1.964970,849.139431
2.035955,2.035942,1.971485,1.965905,848.741550
2.037505,2.037492,1.973109,1.966309,848.096255
2.036043,2.036034,1.971512,1.966031,848.705259
2.037825,2.037821,1.973366,1.967799,847.962767
2.037890,2.037872,1.973459,1.967689,847.935867
2.037559,2.037557,1.973041,1.967412,848.073464
