# Number of processors: 48
# Process binding: node
# Process grid: 4 4 3
maxtime,mintime,jacobima,jacobimi,mlups
0.353590,0.352402,0.319166,0.314251,4887.017888
0.339329,0.339320,0.324177,0.314097,5092.404869
0.335711,0.335705,0.319421,0.314162,5147.279391
0.345405,0.345399,0.330357,0.314213,5002.816111
0.338185,0.338179,0.323041,0.314240,5109.627230
0.336708,0.336501,0.321540,0.314156,5132.041640
0.336480,0.336470,0.321269,0.314443,5135.516472
0.348516,0.348501,0.333440,0.314557,4958.169277
0.341063,0.341056,0.321342,0.314543,5066.508613
0.336628,0.336613,0.321413,0.314616,5133.261763
