# Number of processors: 12
# Process binding: node
# Process grid: 3 2 2
maxtime,mintime,jacobima,jacobimi,mlups
1.296972,1.293021,1.258184,1.254662,1332.334098
1.292822,1.292819,1.258062,1.254747,1336.610531
1.291759,1.291756,1.258020,1.254709,1337.710892
1.291697,1.291695,1.257994,1.254732,1337.774598
1.291809,1.291805,1.258075,1.254784,1337.659495
1.291697,1.291693,1.258169,1.254776,1337.774943
1.291732,1.291729,1.258060,1.254731,1337.738436
1.291618,1.291615,1.258022,1.254758,1337.856701
1.291736,1.291733,1.258085,1.254757,1337.735045
1.291601,1.291599,1.257929,1.254667,1337.874471
