# Number of processors: 12
# Process binding: socket
# Process grid: 3 2 2
maxtime,mintime,jacobima,jacobimi,mlups
1.934116,1.934043,1.872257,1.835251,893.431514
1.929067,1.929058,1.869483,1.833562,895.769944
1.928624,1.928621,1.868977,1.833964,895.975760
1.929870,1.929863,1.870184,1.834132,895.397272
1.928779,1.928770,1.869149,1.834003,895.903534
1.929898,1.929896,1.870259,1.834491,895.384173
1.930488,1.930481,1.870896,1.834704,895.110676
1.929467,1.929450,1.869915,1.834783,895.583941
1.929567,1.929557,1.869951,1.833938,895.537706
1.929372,1.929369,1.869765,1.833680,895.628255
