# Number of processors: 4
# Process binding: socket
# Process grid: 2 2 1
maxtime,mintime,jacobima,jacobimi,mlups
3.831550,3.831524,3.768549,3.757685,450.992419
3.827204,3.827204,3.767616,3.755998,451.504571
3.828092,3.828091,3.768507,3.757299,451.399852
3.826774,3.826771,3.767194,3.757476,451.555333
3.827979,3.827977,3.768328,3.757544,451.413152
3.828234,3.828234,3.768619,3.755170,451.383032
3.827848,3.827847,3.768246,3.757647,451.428582
3.825791,3.825790,3.766177,3.755239,451.671347
3.828141,3.828140,3.768425,3.757591,451.394084
3.826592,3.826591,3.767038,3.755305,451.576768
