# Number of processors: 12
# Process binding: socket
# Process grid: 3 2 2
maxtime,mintime,jacobima,jacobimi,mlups
1.300879,1.299748,1.261654,1.254612,1328.332489
1.296662,1.296658,1.261689,1.254432,1332.652710
1.296759,1.296754,1.261645,1.254618,1332.553294
1.296859,1.296844,1.261882,1.254498,1332.449710
1.296584,1.296565,1.261595,1.254577,1332.733215
1.296673,1.296670,1.261692,1.254502,1332.641473
1.296566,1.296563,1.261596,1.254453,1332.751168
1.296608,1.296603,1.261631,1.254519,1332.708266
1.296480,1.296466,1.261513,1.254410,1332.840137
1.296538,1.296535,1.261556,1.254413,1332.779826
