# Number of processors: 8
# Process binding: core
# Process grid: 2 2 2
maxtime,mintime,jacobima,jacobimi,mlups
1.940161,1.940114,1.886786,1.881595,890.647544
1.936989,1.936985,1.887197,1.881641,892.106477
1.937159,1.937156,1.887035,1.881244,892.027741
1.936890,1.936885,1.887086,1.881403,892.152034
1.936828,1.936825,1.887058,1.881314,892.180506
1.936775,1.936771,1.886938,1.881495,892.205035
1.936649,1.936646,1.886768,1.881196,892.262927
1.936870,1.936867,1.887092,1.881576,892.160988
1.936596,1.936594,1.886765,1.881231,892.287426
1.936884,1.936880,1.887035,1.881354,892.154517
