# Number of processors: 4
# Process binding: core
# Process grid: 2 2 1
maxtime,mintime,jacobima,jacobimi,mlups
5.615660,5.615631,5.507797,5.478254,307.710936
5.608436,5.608435,5.505100,5.474590,308.107297
5.634094,5.634094,5.528722,5.496204,306.704121
5.721304,5.721303,5.615164,5.581399,302.029071
5.725954,5.725949,5.619864,5.587903,301.783777
5.728148,5.728146,5.621963,5.588765,301.668184
5.728054,5.728054,5.621047,5.589165,301.673126
5.726800,5.726799,5.620652,5.588812,301.739204
5.726383,5.726383,5.620149,5.589215,301.761145
5.726821,5.726821,5.620647,5.588448,301.738065
