# Number of processors: 12
# Process binding: node
# Process grid: 3 2 2
maxtime,mintime,jacobima,jacobimi,mlups
1.883928,1.883151,1.824014,1.811313,917.232731
1.883505,1.883497,1.825687,1.810740,917.438423
1.882846,1.882840,1.825060,1.810904,917.759447
1.883106,1.883103,1.825294,1.810751,917.632990
1.883211,1.883207,1.825436,1.811050,917.581577
1.883236,1.883232,1.825462,1.810705,917.569688
1.883214,1.883211,1.825409,1.810893,917.580044
1.882572,1.882566,1.824840,1.811587,917.893373
1.882998,1.882994,1.825211,1.810735,917.685746
1.882911,1.882903,1.825118,1.811133,917.727690
