# Number of processors: 4
# Process binding: socket
# Process grid: 2 2 1
maxtime,mintime,jacobima,jacobimi,mlups
5.589672,5.589599,5.480192,5.469674,309.141574
5.586137,5.586136,5.481235,5.469711,309.337228
5.569381,5.569379,5.467109,5.455971,310.267898
5.572368,5.572367,5.470055,5.431785,310.101582
5.567818,5.567817,5.465615,5.431902,310.354971
5.570485,5.570485,5.468233,5.432257,310.206365
5.571862,5.571861,5.469593,5.431811,310.129714
5.570656,5.570655,5.468446,5.431426,310.196886
5.571382,5.571381,5.468979,5.432230,310.156423
5.573075,5.573073,5.470920,5.432049,310.062242
