# Number of processors: 12
# Process binding: core
# Process grid: 3 2 2
maxtime,mintime,jacobima,jacobimi,mlups
1.306825,1.305569,1.263195,1.256470,1322.289150
1.304870,1.304867,1.265979,1.259161,1324.269376
1.303905,1.303894,1.264940,1.260323,1325.250287
1.303920,1.303896,1.265262,1.260524,1325.235046
1.303798,1.303790,1.265122,1.260542,1325.359154
1.303638,1.303635,1.264999,1.260415,1325.521140
1.303959,1.303956,1.265316,1.260670,1325.194960
1.303525,1.303514,1.264844,1.260128,1325.635947
1.303302,1.303295,1.264608,1.259961,1325.862771
1.303367,1.303364,1.264638,1.260110,1325.796666
