# Number of processors: 48
# Process binding: node
# Process grid: 4 4 3
maxtime,mintime,jacobima,jacobimi,mlups
0.523845,0.520131,0.494711,0.474266,3298.688085
0.518289,0.518280,0.494763,0.474043,3334.044673
0.518380,0.518374,0.494831,0.474205,3333.459618
0.518755,0.518750,0.495421,0.474104,3331.054035
0.517729,0.517724,0.494182,0.473814,3337.651890
0.518559,0.518553,0.495027,0.473906,3332.312671
0.518345,0.518341,0.494752,0.474077,3333.685679
0.518450,0.518444,0.495024,0.474065,3333.010242
0.517953,0.517948,0.494343,0.474126,3336.208123
0.518787,0.518782,0.495189,0.474049,3330.847335
