# Number of processors: 8
# Process binding: core
# Process grid: 2 2 2
maxtime,mintime,jacobima,jacobimi,mlups
2.968808,2.968747,2.879942,2.859108,582.051761
2.965549,2.965545,2.879233,2.859624,582.691507
2.964845,2.964841,2.878551,2.861006,582.829732
2.966095,2.966086,2.879765,2.861260,582.584228
2.966652,2.966648,2.880331,2.862274,582.474750
2.966253,2.966246,2.879818,2.859929,582.553179
2.966506,2.966502,2.880111,2.860617,582.503438
2.966276,2.966271,2.879018,2.859538,582.548718
2.965560,2.965548,2.879153,2.860653,582.689275
2.965804,2.965801,2.879510,2.860109,582.641245
